"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"2","3.54","KEGG_PATHWAY","EGFR tyrosine kinase inhibitor resistance","3","9","80","9375","33.33","1.95e-3","5.78e-3","39.06","3.01e-1","3.08e-3","4.84e-5","IL6,AKT1,MAPK3","hsa01521:EGFR tyrosine kinase inhibitor resistance"
"2","3.54","KEGG_PATHWAY","MicroRNAs in cancer","4","9","323","9375","44.44","1.99e-3","5.83e-3","12.90","3.07e-1","3.10e-3","1.52e-4","CASP3,PTGS2,TP53,MAPK3","hsa05206:MicroRNAs in cancer"
"2","3.54","KEGG_PATHWAY","ErbB signaling pathway","3","9","86","9375","33.33","2.25e-3","6.46e-3","36.34","3.39e-1","3.44e-3","6.02e-5","JUN,AKT1,MAPK3","hsa04012:ErbB signaling pathway"
"2","3.54","GOTERM_BP_DIRECT","response to oxidative stress","3","9","176","19172","33.33","2.26e-3","7.49e-2","36.31","7.60e-1","7.00e-2","6.13e-5","AKT1,PTGS2,TP53","GO:0006979~response to oxidative stress"
"2","3.54","GOTERM_BP_DIRECT","apoptotic process","4","9","699","19172","44.44","2.36e-3","7.49e-2","12.19","7.74e-1","7.00e-2","1.91e-4","JUN,CASP3,TP53,MAPK3","GO:0006915~apoptotic process"
"2","3.54","KEGG_PATHWAY","PD-L1 expression and PD-1 checkpoint pathway in cancer","3","9","90","9375","33.33","2.46e-3","6.96e-3","34.72","3.64e-1","3.71e-3","6.89e-5","JUN,AKT1,MAPK3","hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer"
"2","3.54","KEGG_PATHWAY","B cell receptor signaling pathway","3","9","91","9375","33.33","2.51e-3","7.00e-3","34.34","3.70e-1","3.73e-3","7.12e-5","JUN,AKT1,MAPK3","hsa04662:B cell receptor signaling pathway"
"2","3.54","KEGG_PATHWAY","Rheumatoid arthritis","3","9","95","9375","33.33","2.73e-3","7.48e-3","32.89","3.96e-1","3.99e-3","8.10e-5","IL6,JUN,TNF","hsa05323:Rheumatoid arthritis"
"2","3.54","KEGG_PATHWAY","PI3K-Akt signaling pathway","4","9","362","9375","44.44","2.77e-3","7.48e-3","11.51","3.99e-1","3.99e-3","2.36e-4","IL6,AKT1,TP53,MAPK3","hsa04151:PI3K-Akt signaling pathway"
"2","3.54","KEGG_PATHWAY","Choline metabolism in cancer","3","9","99","9375","33.33","2.97e-3","7.91e-3","31.57","4.21e-1","4.21e-3","9.16e-5","JUN,AKT1,MAPK3","hsa05231:Choline metabolism in cancer"
"2","3.54","GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","4","9","768","19172","44.44","3.08e-3","8.39e-2","11.09","8.57e-1","7.84e-2","2.74e-4","IL6,JUN,TNF,TP53","GO:0045893~positive regulation of DNA-templated transcription"
"2","3.54","GOTERM_BP_DIRECT","positive regulation of ERK1 and ERK2 cascade","3","9","210","19172","33.33","3.20e-3","8.39e-2","30.43","8.67e-1","7.84e-2","1.04e-4","JUN,TNF,MAPK3","GO:0070374~positive regulation of ERK1 and ERK2 cascade"
"2","3.54","KEGG_PATHWAY","Amoebiasis","3","9","103","9375","33.33","3.21e-3","8.43e-3","30.34","4.46e-1","4.49e-3","1.03e-4","IL6,CASP3,TNF","hsa05146:Amoebiasis"
